Timestamp,Datetime,Instant heart rate value
1620.3,2013-01-25 22:27:00.300000,51.8731988473
1628.343333,2013-01-25 22:27:08.343333,52.3255813953
1629.49,2013-01-25 22:27:09.490000,42.8571428572
1747.65,2013-01-25 22:29:07.650000,44.3349753695
1749.003333,2013-01-25 22:29:09.003333,45.9183673469
1750.31,2013-01-25 22:29:10.310000,55.3846153847
1751.393333,2013-01-25 22:29:11.393333,59.8006644518
1752.396667,2013-01-25 22:29:12.396667,46.7532467533
1753.68,2013-01-25 22:29:13.680000,54.054054054
1791.51,2013-01-25 22:29:51.510000,49.0463215258
1794.706667,2013-01-25 22:29:54.706667,54.8780487804
1806.266667,2013-01-25 22:30:06.266667,48.7804878049
1807.496667,2013-01-25 22:30:07.496667,48.9130434783
1808.723333,2013-01-25 22:30:08.723333,54.5454545453
1815.82,2013-01-25 22:30:15.820000,49.1803278688
1820.536667,2013-01-25 22:30:20.536667,49.7237569061
1824.02,2013-01-25 22:30:24.020000,49.4505494506
1830.056667,2013-01-25 22:30:30.056667,56.2500000001
1831.123333,2013-01-25 22:30:31.123333,50.5617977527
1832.31,2013-01-25 22:30:32.310000,49.7237569061
1833.516667,2013-01-25 22:30:33.516667,54.8780487804
1834.61,2013-01-25 22:30:34.610000,52.7859237537
1958.403333,2013-01-25 22:32:38.403333,55.7275541795
1964.36,2013-01-25 22:32:44.360000,50.279329609
1965.553333,2013-01-25 22:32:45.553333,55.7275541795
1971.953333,2013-01-25 22:32:51.953333,49.4505494506
1973.166667,2013-01-25 22:32:53.166667,53.412462908
1974.29,2013-01-25 22:32:54.290000,49.046321526
1975.513333,2013-01-25 22:32:55.513333,51.282051282
1976.683333,2013-01-25 22:32:56.683333,54.2168674699
1977.79,2013-01-25 22:32:57.790000,49.7237569061
1978.996667,2013-01-25 22:32:58.996667,52.1739130434
1980.146667,2013-01-25 22:33:00.146667,56.0747663552
2017.64,2013-01-25 22:33:37.640000,47.7453580901
2027.29,2013-01-25 22:33:47.290000,43.5835351089
2043.23,2013-01-25 22:34:03.230000,46.9973890339
2044.506667,2013-01-25 22:34:04.506667,52.7859237537
2045.643333,2013-01-25 22:34:05.643333,50.4201680673
2046.833333,2013-01-25 22:34:06.833333,48.7804878049
2053.86,2013-01-25 22:34:13.860000,48.3870967743
2057.436667,2013-01-25 22:34:17.436667,47.6190476191
2058.696667,2013-01-25 22:34:18.696667,48.3870967741
2062.24,2013-01-25 22:34:22.240000,48.9130434783
2202.75,2013-01-25 22:36:42.750000,52.1739130434
2203.9,2013-01-25 22:36:43.900000,53.412462908
2205.023333,2013-01-25 22:36:45.023333,61.2244897959
2206.003333,2013-01-25 22:36:46.003333,55.2147239264
2209.456667,2013-01-25 22:36:49.456667,54.054054054
2245.933333,2013-01-25 22:37:25.933333,61.433447099
2251.266667,2013-01-25 22:37:31.266667,54.054054054
2356.046667,2013-01-25 22:39:16.046667,52.4781341108
2359.55,2013-01-25 22:39:19.550000,54.3806646526
2360.653333,2013-01-25 22:39:20.653333,43.9024390243
2362.02,2013-01-25 22:39:22.020000,48.9130434783
2389.05,2013-01-25 22:39:49.050000,45.5696202532
2392.563333,2013-01-25 22:39:52.563333,46.2724935732
2396.296667,2013-01-25 22:39:56.296667,47.4934036938
2399.806667,2013-01-25 22:39:59.806667,44.776119403
2403.533333,2013-01-25 22:40:03.533333,50.4201680673
2407.016667,2013-01-25 22:40:07.016667,45.0
2410.443333,2013-01-25 22:40:10.443333,49.8614958448
2557.983333,2013-01-25 22:42:37.983333,49.4505494506
2561.443333,2013-01-25 22:42:41.443333,48.3870967741
2564.98,2013-01-25 22:42:44.980000,46.9973890339
2572.08,2013-01-25 22:42:52.080000,50.279329609
2573.273333,2013-01-25 22:42:53.273333,50.4201680673
2574.463333,2013-01-25 22:42:54.463333,54.054054054
2575.573333,2013-01-25 22:42:55.573333,49.8614958448
2576.776667,2013-01-25 22:42:56.776667,47.3684210526
2580.316667,2013-01-25 22:43:00.316667,47.4934036938
2601.323333,2013-01-25 22:43:21.323333,48.9130434783
2604.896667,2013-01-25 22:43:24.896667,47.2440944882
2625.863333,2013-01-25 22:43:45.863333,50.5617977529
2627.05,2013-01-25 22:43:47.050000,50.5617977527
2628.236667,2013-01-25 22:43:48.236667,55.5555555557
2629.316667,2013-01-25 22:43:49.316667,52.4781341108
2630.46,2013-01-25 22:43:50.460000,49.4505494506
2633.893333,2013-01-25 22:43:53.893333,50.279329609
2637.313333,2013-01-25 22:43:57.313333,49.723756906
2638.52,2013-01-25 22:43:58.520000,55.2147239264
2639.606667,2013-01-25 22:43:59.606667,53.8922155688
2640.72,2013-01-25 22:44:00.720000,48.3870967743
2641.96,2013-01-25 22:44:01.960000,54.8780487804
2643.053333,2013-01-25 22:44:03.053333,54.5454545455
2644.153333,2013-01-25 22:44:04.153333,48.5175202156
2790.176667,2013-01-25 22:46:30.176667,52.1739130434
2791.326667,2013-01-25 22:46:31.326667,45.6852791879
2792.64,2013-01-25 22:46:32.640000,47.493403694
2882.733333,2013-01-25 22:48:02.733333,73.1707317073
2885.61,2013-01-25 22:48:05.610000,64.0569395019
2903.12,2013-01-25 22:48:23.120000,55.0458715596
2906.363333,2013-01-25 22:48:26.363333,47.3684210526
2907.63,2013-01-25 22:48:27.630000,49.7237569061
2910.92,2013-01-25 22:48:30.920000,45.6852791877
2912.233333,2013-01-25 22:48:32.233333,50.5617977529
2918.23,2013-01-25 22:48:38.230000,45.4545454546
2921.966667,2013-01-25 22:48:41.966667,44.4444444445
2925.98,2013-01-25 22:48:45.980000,52.0231213872
2927.133333,2013-01-25 22:48:47.133333,45.4545454546
2938.34,2013-01-25 22:48:58.340000,42.8571428571
2942.076667,2013-01-25 22:49:02.076667,46.1538461539
