Minutely actigram
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
15
9
15
11
11
8
5
13
5
7
9
5
10
8
4
9
10
4
10
13
10
9
10
10
1
9
1
6
9
5
3
1
1
5
7
12
0
4
12
11
6
7
5
10
4
11
11
7
9
11
4
5
7
5
7
8
9
9
5
2
3
5
3
3
2
11
0
3
5
1
6
2
9
0
3
2
3
0
3
0
2
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
5
2
5
0
0
0
1
0
0
0
0
0
0
0
3
1
0
0
0
0
0
4
3
1
2
4
3
0
1
0
2
4
3
2
0
2
7
2
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
0
0
0
0
3
0
0
2
2
2
0
0
0
0
1
0
0
0
0
0
4
5
2
4
1
1
1
1
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
1
0
0
1
0
0
0
0
0
5
0
0
0
0
0
0
0
0
1
7
8
0
0
1
4
0
4
0
1
5
0
2
2
4
3
1
6
1
1
3
1
3
0
1
2
4
0
1
3
2
5
1
4
0
1
2
1
0
0
0
2
2
0
0
3
0
0
0
0
0
0
0
0
0
0
0
0
0
3
0
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
5
0
0
4
1
5
4
2
4
1
0
0
3
3
3
0
2
3
0
0
0
0
0
8
0
0
4
0
0
0
5
0
0
0
0
1
0
0
0
0
0
0
0
0
0
2
0
0
0
0
0
0
0
0
0
0
1
1
1
0
0
6
0
2
5
0
3
0
0
3
3
2
2
3
9
0
1
4
0
1
1
0
4
3
5
1
2
5
5
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
5
1
0
0
2
3
0
4
0
3
0
0
0
2
1
6
4
3
4
1
2
6
2
0
0
2
1
1
0
0
1
0
2
0
7
4
5
1
0
0
2
1
2
2
4
8
4
5
1
1
0
0
2
3
0
0
0
0
1
4
1
0
0
0
0
0
0
1
0
0
0
0
3
1
2
0
0
1
1
0
0
0
2
0
0
0
0
0
0
0
1
0
6
0
0
1
0
0
1
4
0
3
7
0
1
4
0
2
5
4
1
0
1
0
0
2
0
0
0
11
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
