Date,Time in bed,Time sleeping,Time light sleep,Time deep sleep,resting heartrate,sleep_efficiency
2013-01-19,31980,30870,19230,4380,41.3862747854,96.5290806754
2013-01-20,29820,27150,15540,3960,42.0400731854,91.046277666
2013-01-21,31770,28500,15390,6900,41.018436729,89.7072710104
2013-01-25,30420,28950,15900,5070,41.6813397745,95.16765286
2013-01-26,33270,28350,13290,5160,41.6552040737,85.211902615
