Timestamp, stage
2013-01-25T22:00:00,1
2013-01-25T22:26:00,2
2013-01-25T23:40:30,3
2013-01-26T00:24:30,
2013-01-26T00:28:30,3
2013-01-26T00:33:00,
2013-01-26T01:10:30,3
2013-01-26T02:19:00,
2013-01-26T03:02:30,3
2013-01-26T03:08:30,4
2013-01-26T04:34:30,3
2013-01-26T04:39:30,
2013-01-26T05:13:30,3
2013-01-26T05:56:30,
2013-01-26T06:23:00,2
2013-01-26T06:28:00,3
2013-01-26T07:18:30,
2013-01-26T07:38:00,2
2013-01-26T07:40:30,1
